,Unnamed: 0,K,y_mean,p,variance,variance_verdoja,our_formula
66,66,10,1000,0.2,18779.609819103167,23795.35990481856,21487.37389476318
67,67,10,1000,0.3,29732.492971442814,39407.01820228935,33045.00084553379
68,68,10,1000,0.5,53685.95456275865,82644.62809917355,56478.82756599883
69,69,10,1000,0.7,80087.92025452411,153396.6398831264,80141.71336283596
70,70,10,1000,0.8,93384.2382277122,204081.63265306118,92027.0846749926
71,71,10,1000,0.9,105928.12643528351,249307.47922437667,103939.49329688259
72,72,100,1,0.001,6.933163633426897e-05,1.0009809612418185e-05,7.458745104009229e-18
73,73,100,1,0.05,0.000998193215864,0.0005257622099279956,1.3911781120448185e-12
74,74,100,1,0.1,0.0018576832812198,0.0011086460844468042,1.3708180820865252e-11
75,75,100,1,0.2,0.0040430716354943,0.0024875467192368205,1.5020817275268214e-10
76,76,100,1,0.3,0.0055154676951092,0.004249214401194637,6.570666793193908e-10
77,77,100,1,0.5,0.0107475387141718,0.009802960494069209,4.767113882543237e-09
78,78,100,1,0.7,0.0201338457562897,0.02228140351621768,1.9640043489728734e-08
79,79,100,1,0.8,0.0275383012751046,0.03698224852071005,3.564489785812678e-08
80,80,100,1,0.9,0.046842292359112,0.07575119939399039,6.153730014887179e-08
81,81,100,10,0.001,0.0009847452164786,0.0010009809612418184,7.458745104009228e-14
82,82,100,10,0.05,0.0367819776784604,0.05257622099279956,1.3911781120448181e-08
83,83,100,10,0.1,0.0605697018751463,0.11086460844468042,1.3708180820865249e-07
84,84,100,10,0.2,0.0793275116587016,0.24875467192368203,1.5020817275268211e-06
85,85,100,10,0.3,0.0708081703774251,0.4249214401194637,6.5706667931939085e-06
86,86,100,10,0.5,0.0239045945932031,0.9802960494069209,4.767113882543237e-05
87,87,100,10,0.7,0.0185202571386954,2.2281403516217684,0.00019640043489728732
88,88,100,10,0.8,0.0291654178382941,3.6982248520710046,0.00035644897858126776
89,89,100,10,0.9,0.0473342406683463,7.5751199393990385,0.0006153730014887179
90,90,100,100,0.001,0.0967631610681721,0.10009809612418184,7.458745104009228e-10
91,91,100,100,0.05,4.8530522061841,5.257622099279955,0.00013911781120448186
92,92,100,100,0.1,9.990421855604447,11.086460844468041,0.001370818082086525
93,93,100,100,0.2,21.684208550970293,24.875467192368202,0.015020817275268213
94,94,100,100,0.3,35.557234865696266,42.49214401194637,0.06570666793193908
95,95,100,100,0.5,73.71718160070233,98.0296049406921,0.4767113882543237
